"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1278","should display correct confirmation screen content after successful order @smoke @regression","chromium","2026-03-25","passed","2026-03-25","Checkout Flow > Confirmation Screen","Checkout Flow","",""
"","2824","should display inventory title after login @regression","webkit","2026-03-25","passed","2026-03-25","Authentication > Successful Login","Authentication","",""
"","1191","should block checkout when all fields are empty @regression","chromium","2026-03-25","passed","2026-03-25","Checkout Flow > Checkout Validation — Required Fields","Checkout Flow","",""
"","2394","should block checkout when last name is missing @regression","webkit","2026-03-25","passed","2026-03-25","Checkout Flow > Checkout Validation — Required Fields","Checkout Flow","",""
"","1782","should allow dismissing the checkout error banner @regression","firefox","2026-03-25","passed","2026-03-25","Checkout Flow > Checkout Validation — Required Fields","Checkout Flow","",""
"","1434","should not authenticate with XSS payload and must not execute script @regression @security","webkit","2026-03-25","passed","2026-03-25","Authentication > Invalid Credentials","Authentication","",""
"","1491","should navigate back to inventory from confirmation screen @regression","chromium","2026-03-25","passed","2026-03-25","Checkout Flow > Confirmation Screen","Checkout Flow","",""
"","1646","should persist cart items when navigating back to inventory @regression","firefox","2026-03-25","passed","2026-03-25","Shopping Cart > Cart Persistence","Shopping Cart","",""
"","1380","should clear the cart after a successful order @regression","chromium","2026-03-25","passed","2026-03-25","Checkout Flow > Successful Purchase","Checkout Flow","",""
"","1041","should sort products by Name Z→A @regression","chromium","2026-03-25","passed","2026-03-25","Product Catalog > Sorting","Product Catalog","",""
"","2557","should display correct confirmation screen content after successful order @smoke @regression","webkit","2026-03-25","passed","2026-03-25","Checkout Flow > Confirmation Screen","Checkout Flow","",""
"","1486","should display the correct number of products @smoke @regression","firefox","2026-03-25","passed","2026-03-25","Product Catalog > Product Listing","Product Catalog","",""
"","1480","should update cart badge correctly when multiple items are added @smoke @regression","firefox","2026-03-25","passed","2026-03-25","Shopping Cart > Add to Cart","Shopping Cart","",""
"","2082","should show Add to Cart button again after item is removed @regression","webkit","2026-03-25","passed","2026-03-25","Shopping Cart > Remove from Cart","Shopping Cart","",""
"","2140","should detect that problem_user sees incorrect/broken product images @regression","webkit","2026-03-25","passed","2026-03-25","Product Catalog > problem_user Visual Regression","Product Catalog","",""
"","1473","should fail to proceed past checkout step one — documents known defect @regression","firefox","2026-03-25","passed","2026-03-25","Performance & Resilience > error_user Failure States","Performance & Resilience","",""
"","1766","should remove a specific item from the cart page and leave others intact @regression","firefox","2026-03-25","passed","2026-03-25","Shopping Cart > Remove from Cart","Shopping Cart","",""
"","1276","should persist cart items after page reload @regression","chromium","2026-03-25","passed","2026-03-25","Shopping Cart > Cart Persistence","Shopping Cart","",""
"","1128","should update cart badge correctly when multiple items are added @smoke @regression","chromium","2026-03-25","passed","2026-03-25","Shopping Cart > Add to Cart","Shopping Cart","",""
"","999","should show error for wrong password @smoke @regression","chromium","2026-03-25","passed","2026-03-25","Authentication > Invalid Credentials","Authentication","",""
"","2301","should update cart badge correctly when multiple items are added @smoke @regression","webkit","2026-03-25","passed","2026-03-25","Shopping Cart > Add to Cart","Shopping Cart","",""
"","1046","should sort products by Price Low→High @regression","chromium","2026-03-25","passed","2026-03-25","Product Catalog > Sorting","Product Catalog","",""
"","1306","should block checkout when last name is missing @regression","chromium","2026-03-25","passed","2026-03-25","Checkout Flow > Checkout Validation — Required Fields","Checkout Flow","",""
"","1067","should show Add to Cart button again after item is removed @regression","chromium","2026-03-25","passed","2026-03-25","Shopping Cart > Remove from Cart","Shopping Cart","",""
"","965","should fail to add item to cart — documents known defect @regression","chromium","2026-03-25","passed","2026-03-25","Performance & Resilience > error_user Failure States","Performance & Resilience","",""
"","1063","should allow error banner to be dismissed @regression","firefox","2026-03-25","passed","2026-03-25","Authentication > Invalid Credentials","Authentication","",""
"","2064","should block checkout when postal code is missing @regression","firefox","2026-03-25","passed","2026-03-25","Checkout Flow > Checkout Validation — Required Fields","Checkout Flow","",""
"","1908","should re-sort correctly when switching sort options @regression","firefox","2026-03-25","passed","2026-03-25","Product Catalog > Sorting","Product Catalog","",""
"","2733","should display inventory title after login @regression","firefox","2026-03-25","passed","2026-03-25","Authentication > Successful Login","Authentication","",""
"","1445","should show username required error when both fields are empty @regression","webkit","2026-03-25","passed","2026-03-25","Authentication > Invalid Credentials","Authentication","",""
"","2222","should remove a specific item from the cart page and leave others intact @regression","webkit","2026-03-25","passed","2026-03-25","Shopping Cart > Remove from Cart","Shopping Cart","",""
"","2296","should log out successfully and return to login page @smoke @regression","webkit","2026-03-25","passed","2026-03-25","Authentication > Session & Logout","Authentication","",""
"","1379","should show error for empty username @regression","webkit","2026-03-25","passed","2026-03-25","Authentication > Invalid Credentials","Authentication","",""
"","1682","should show all added items in the cart @regression","firefox","2026-03-25","passed","2026-03-25","Shopping Cart > Add to Cart","Shopping Cart","",""
"","1281","should detect that problem_user sees incorrect/broken product images @regression","chromium","2026-03-25","passed","2026-03-25","Product Catalog > problem_user Visual Regression","Product Catalog","",""
"","1324","should display product images with non-empty src attributes (standard_user) @regression","firefox","2026-03-25","passed","2026-03-25","Product Catalog > Product Listing","Product Catalog","",""
"","1887","should re-sort correctly when switching sort options @regression","webkit","2026-03-25","passed","2026-03-25","Product Catalog > Sorting","Product Catalog","",""
"","1841","should display product images with non-empty src attributes (standard_user) @regression","webkit","2026-03-25","passed","2026-03-25","Product Catalog > Product Listing","Product Catalog","",""
"","1120","should show error for empty username @regression","firefox","2026-03-25","passed","2026-03-25","Authentication > Invalid Credentials","Authentication","",""
"","1298","should login successfully and display inventory @smoke @regression","webkit","2026-03-25","passed","2026-03-25","Performance & Resilience > error_user Failure States","Performance & Resilience","",""
"","1091","should show locked out error for locked_out_user @smoke @regression","firefox","2026-03-25","passed","2026-03-25","Authentication > Locked Out User","Authentication","",""
